rg,smi,lable
[Zn][Ti][Co][Sc]([Co][Sc][Nb]([Zn])[Mo])[Y][Zn],Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Nc3cccc([N+](=O)[O-])c3)n2)n[nH]1,
[Cu][Sc][Co][Ni][Zn][Sc][Mn]([Zn])[Co][Sc][Zn][Y][Zn],Cc1cn2c(-c3cnn(CC(=O)Nc4ccncc4O)c3)cnc2c(Nc2cc(CN3CCCC(C)C3)ns2)n1,
[Co][Ni][Sc]=[Sc][Ni][Sc]=[Sc]([Ni][Zn])[Ni][Zn],COc1cc2ncnc(Oc3ccc4c(C(N)=O)cccc4c3)c2cc1OC,
[Ti][Co][Sc][Zn][Hf]([Cr])[Ni][Sc]([Ni])[Zn],O=c1[nH]nc(C2(Cc3cncc(Nc4cc[nH]n4)n3)CCC(Oc3cccc(Cl)c3F)CC2)o1,
[Ti]=[Sc]=[Sc][Co][Ni][Hf][Co][Sc][Zn],O=C(Nc1nc2ccc3[nH]ncc3c2s1)C1(Nc2ccc(Cl)cc2)CC1,
[Co][Ni][Sc](=[Sc][Co][Y])[Zn]1[Zn][Zn][Zn]([Ni][Co])[Zn][Zn]1,NC(=O)c1cc(C2=CCC(C(N)=O)C=C2)cc2c(NC3CCCNC3)ncnc12,
[Co][Ti]=[Sc][Sc]([Co])[Hf][Co][Ni][Ni][Zn],CC(C)(C)OC(=O)NC1CCCN(c2cc(-c3ccc4c(N)n[nH]c4c3)nc(N)n2)C1,
[Co][Ni][Sc]=[Sc][Co][Y],NC(=O)c1cccc2c(NC3CCNCC3)ncnc12,
[Co][Ni][Sc](=[Sc][Co][Zn][Sc][Zn])[Ni][Zn][Y][Cu],NC(=O)c1cc(OCCCN2CCC(O)C2)cc2c(NCc3ccc(C(F)(F)F)cc3)ncnc12,
[Sc][Ni][Hf][Mn]([Zn])[Sc][Zn]([Zn])[Zn],CN(C)c1ccc(-c2nc3c(N4CCN(S(=O)(=O)c5ccccc5)CC4)c(Br)cnc3[nH]2)cc1,
[Co][Ni][Hf]1([Co][Sc]([Ni])[Co][Sc]([Zn])[Y][Zn])[Zn][Zn]1,Cc1cc(Nc2ncc(F)c(NC3C4C=CC(C4)C3C(N)=O)n2)ccc1N1CCN(C)CC1,
[Cu][Sc]([Zn])[Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn],COc1cc2ncnc(Nc3ccc(C)c(O)c3)c2cc1OC,
[Sc][Ni][Co][Sc][Ti][Co][Ni][Sc][Ni][Zn][Y],O=C(Nc1cc(-c2cccc(NS(=O)(=O)c3ccccc3)c2)n[nH]1)c1ccc(OCCN2CCCC2)cc1,
[Co][Ni][Sc]([Cu])=[Sc][Co][Zn]([Sc][Ni])[Nb]([Zn])[Zn],CN(C)CC(Nc1ncnc2c(C(N)=O)cc(O)cc12)c1cccc(F)c1,
[Zn][Sc][Mn][Co][Sc][Ni][Zn]([Zn])[Zn],CN(C)S(=O)(=O)c1ccc(Nc2nccn3c(-c4cnn(C)c4)cnc23)cc1,
[Sc][Ti]([Zn])[Zn][Zn],Cc1n[nH]c2ncc(C#N)c(-c3ccccc3)c12,
[Ni][Sc][Zn][Co][Ni][Sc]1[Co][Ni][Sc]([Sc]([Cu])[Ni][Zn])[Co]1,COc1cc(-c2ccc3c(c2)Nc2ccc(C(=O)NCc4cccc(F)c4)cc2NC3=O)ccc1O,
[Sc][Co][Ni][Co][Sc][Zn][Ni][Sc]=[Sc][Co][Zn][Y],O=C(Nc1ccccc1)Nc1cccc(COc2ccc3nc(NCCN4CCOCC4)oc3c2)c1,
[Sc][Zn][Y][Mn]([Zn])[Sc][Ni][Zn],COc1ccc(-c2nc3c(N4CCN(Cc5cccnc5)CC4)c(Br)cnc3[nH]2)cc1,
[Sc][Co][Zn]([Zn])[Co][Sc]([Sc])([Sc])[Zn][Zn],N#Cc1c(-c2ccccc2)cc(-c2ccccc2)nc1NC(=S)Nc1ccccc1,
[Cu][W][Co][Sc]([Co][Sc]([Zn])[Zn])[Ni][Co][Y][Zn],CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2COCC2O)CC1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Nb]([Zn])[Mo])[Zn]([Zn])[Ni][Ni][Zn],CN(CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc([N+](=O)[O-])c1)C(=O)OC(C)(C)C,
[Sc][Zn][Sc]=[Sc][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn],COc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1OC,
[Co][Ni][Sc]=[Sc][Co][Zn]([Y])[Sc][Co][Ni][Sc]([Ni])[Zn],NC(=O)c1cccc2c(NC(CCN3CCCCC3)c3cccc(NC(=O)c4ccc(C(F)(F)F)cc4F)c3)ncnc12,
[Ni][Sc]([Zn])[Co][Sc]([Ni])([Ni])([Ni][Co][Ni][Zn][Cu])[Zn][Ni][Zn][Cu],O=C(NOCCO)c1cc(COCCO)c(F)c(F)c1Nc1ccc(I)cc1F,
[Zn][Ni][Sc][Co][Sc][V]([Zn])[Zn],CCn1c(C)c(-c2ccnc(Nc3cccc(OC)c3)n2)sc1=O,
[Sc]=[Sc][Sc]([Co][Mn])[Ni][Zn],COc1cc(Nc2ncnc3[nH]cnc23)ccc1-c1nc2ccccc2s1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Ni])[Nb][Zn],CNCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(F)c1,
[Sc][Sc]=[Sc]([Cu])=[W][Zn][Sc],O=C1c2nc3cc(-c4ccccc4)nn3c(O)c2CN1Cc1ccccc1,
[Co][Ni][Sc][Co][Sc]1[Zn]([Zn])[Sc][Ni][Zn]1[Zn],CN1C(=O)c2ccccc2N(C)c2nc(Nc3cccc(S(N)(=O)=O)c3)ncc21,
[Zn][Sc][Co][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Zn][Y],O=C(Nc1ccc(Br)cc1)Nc1ccc(CNc2nc3ccc(OCCN4CCOCC4)cc3o2)cc1,
[Sc]=[Ta]([Zn][Ni][Zn][Y][Zn][Ni][Zn][Cu])[Re]=[Sc][Zn],O=C1Nc2cc(Br)ccc2C1=C1Nc2ccccc2C1=NOCCN1CCN(CCOCCO)CC1,
[Mn][Ni][Sc][Zn]1[Ti][Co][Zn]2[Zn][Zn][Zn][Ni][Zn]12,O=C1CCCC2=C1C(c1cccc(Oc3nc4ccccc4[nH]3)c1)c1c[nH]nc1N2,
[Mo][Sc][Co][Sc][Co][Sc][W],O=C(O)c1ccccc1Nc1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,
[Co][Sc]=[Sc][Ni][Co][Sc][Zn][Co][Ni][Co][Sc][Ni],Nc1nsc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12,
[Sc][Ni][Co][Sc]=[Ti][Sc][Co][Ni][Zn][Mo],O=C(O)C=CC(=O)Nc1cccc(-c2n[nH]c3cc(NS(=O)(=O)c4ccccc4)ccc23)c1,
[Zn][Sc][Co][Sc][Co][Sc][Mo],O=C(O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,
[Sc][Zn][Sc]([Zn])([Zn])=[Sc][Ni][Co][Ti],Cc1c(C)n(Cc2ccccc2)c2ccc(C(=O)Nc3nc[nH]n3)cc12,
[Ti]=[Sc][Sc][Zn],CCCc1cc(-c2ccc3[nH]ncc3c2)on1,
[Co][Ni][Zn][Sc][Mn]([Zn])[Co][Sc][Zn][Y],Cc1cn2c(-c3cnn(CC(N)=O)c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,
[Cu][Zn][Y][Sc]([Zn])[Co][Ti][Sc][Zn][Co][Ni][Co][Sc][Zn],Cc1nc(Nc2cc(-c3ccc(CNC(=O)Nc4cc(C)on4)cc3)n[nH]2)cc(N2CCN(CCO)CC2)n1,
[Sc][Mn][Co][Sc][Zn],Clc1ccc(Nc2nc(-c3cccnc3)cn3ccnc23)cc1,
[Sc][Zn][Co][Sc]1[Zn][Zn][Sc]1([Zn])[Ni][Co],Cn1nc(C(N)=O)c2c1-c1nc(NCc3ccncc3)ncc1CC2,
[Zn][Mn]([Sc][Zn][Mo])[Co][Sc][Zn][Y],Cc1cn2c(-c3cnn(CC(=O)O)c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,
[Ni][Sc]([Co][Sc][Cu])[Co][Sc][Mo],O=C(O)c1ccccc1Nc1nc(Nc2cccc(O)c2)ncc1F,
[Ni][Sc]([Co][Sc][Cu])[Co][Sc][Ni][Co][Sc][Cu],O=C(Nc1ccccc1O)c1ccc(Nc2nc(Nc3ccc(O)cc3)ncc2F)cc1,
[Zn][Mn][Zn][Sc][Zn]1[Ti]([Ni][Ni][Zn])[Co][Zn]2[Zn][Zn][Zn][Ni][Zn]21,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3cc(Cl)ccc3[nH]2)o1,
[Co][Ni][Sc]([Sc][Y]([Zn])[Zn])[Sc]=[Ti][Zn],Cc1c[nH]c2cccc(-c3nc(C(N)=O)c(-c4ccc(N5CCNC(C)(C)C5)cc4)o3)c12,
[Sc][Zn]([Co][Sc]=[Sc]([Ni][Co])[Ni][Zn])[Nb][Zn],CCNCC(Nc1ncnc2c(C(N)=O)cc(OC)cc12)c1ccccc1,
[Co][Sc]=[Sc][Sc][Co][Ni][Co][Sc][Zn],Nc1nccc2scc(-c3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c12,
[Zn][Ni][Zn][Co][Ni][Sc]=[Sc][Ni][Sc]=[Sc]([Ni][Zn])[Ni][Zn],COCCCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12,
[Co][Ni][Sc](=[Sc][Co][Zn][Sc]([Zn])[Zn])[Ni][Zn],COc1cc(C(N)=O)c2ncnc(NCc3ccc(Cl)c(Cl)c3)c2c1,
[Sc][Zn][Zn]1[Ni][Ni][Ni]([Sc])[Zn]1,O=C1OC(c2ccccc2)=NC1=Cc1cccnc1,
[Zn][Sc][Zn]([Nb])[Ni][Sc][Sc]=[Ti][Zn],Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(Cl)c4)c3)cc12,
[Ni][Sc][Mn]([Y])[Sc][Ni][Sc][Zn],CC(C)(C)c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,
[Ni][Sc]([Mn]([Ni])[Zn])[Nb]([Zn])[Mo],Cc1cn2c(C=O)c(-c3ccc(F)c([N+](=O)[O-])c3)nc2s1,
[Sc][Zn][Co][Ni][Sc]1[Zn][Ti]1[Sc][Sc][Cu],O=C(NCc1ccncc1)c1ccc2c(c1)Cc1c(-c3ccc(-c4ccc(O)cc4)cc3)n[nH]c1-2,
[Sc][Mn]([Co])[Ni],Nc1nn2c(C=O)c(-c3ccccc3)nc2s1,
[Co][Ni][Sc]([Mn][Ni][Y][Zn])[Ni][Zn][Sc][Zn],CC(Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl,
[Sc][Zn][Ti][Mn][Ni][Zn],COc1ccc2nc(-c3n[nH]cc3C=Cc3cccnc3)[nH]c2c1,
[Y][Zn][Ni][Sc]=[Sc][Co][Sc][Co][Ni][Co][Hf],O=C(Nc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)ccc23)cc1)NC1CCCCC1,
[Zn][Sc][Co][Sc][Co][Sc][Co][Ni][Hf],O=C(Nc1cccc(Nc2ccnc(Nc3cccc(C(F)(F)F)c3)n2)c1)C1CC1,
[Zn][Sc][Zn][Sc][Ni][Co][Zn],CNC(=O)c1cncc(C=Cc2ccccc2C)c1,
[Sc][Ni][Co][Sc][Mn][Co][Sc][Ni][Zn],COc1ccc(Nc2nc(-c3cccc(NS(=O)(=O)c4cccnc4)c3)cn3ccnc23)cc1,
[Co][Sc]=[Sc][Sc][Co][Ni][Co][Sc][Zn],Nc1ncnc2onc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12,
[Zn][Ni][Sc][Co][Zn]([Zn])[Co][Sc][Zn][Co][Sc]=[Sc][Ni][Zn][Y],COc1ccc(NC(=S)Nc2ccc(CNc3nc4ccc(OCCN5CCOCC5)cc4s3)cc2)cc1,
[Zn][Zn]([Zn])[Ni][Sc]=[Re][Zn][Ti](=[W])[Zn][Mo],CN(C)S(=O)(=O)c1ccc2c(c1)C(=Cc1[nH]c3c(c1CCC(=O)O)C(=O)CCC3)C(=O)N2,
[Sc][Sc]=[Sc][Co][Sc][Zn][Mo],O=C(O)C=Cc1ccc(Nc2ncc3nnn(-c4ccccc4)c3n2)cc1,
[Ni][Sc][Co][Ni][Zn][Ti][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn][Cu],COc1cc2c(Nc3cc(CC(=O)Nc4ccccc4F)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,
[Ni][Sc]([Zn])[Ni][Hf]([Ni][Co][Hf])[Zn][Sc]([Ni])[Co][Ti][Zn],Cc1cc(Nc2nc(CC3(C(=O)NC4CC4)CCN(C(=O)c4cccc(Cl)c4F)CC3)ccc2F)n[nH]1,
[Zn][Sc]([Zn])[Co][Ni][Co][Sc][Zn][Ni][Sc]=[Sc][Co][Zn][Y],O=C(Nc1ccc(COc2ccc3nc(NCCN4CCOCC4)oc3c2)cc1)Nc1ccc(Cl)c(Cl)c1,
[Ti][Co][Sc][Zn][Hf]([Ti][Zn])[Ni][Sc]([Ni])[Zn],Fc1c(OC2CCC(Cc3cccc(Nc4cc[nH]n4)n3)(c3n[nH]c(=S)o3)CC2)cccc1C(F)(F)F,
[Ti][Co][Sc][Zn][Hf]([Ni][Co])[Ni][Sc]([Ni])[Zn],NC(=O)C1(Cc2cccc(Nc3cc[nH]n3)n2)CCC(Oc2cccc(Cl)c2F)CC1,
[Ti][Co][Sc][Zn][Hf]([Sc][Zn])[Ni][Sc]([Ni])[Zn],Cc1nnc(C2(Cc3cccc(Nc4cc[nH]n4)n3)CCC(Oc3cccc(C(F)(F)F)c3F)CC2)s1,
[Zn][Sc]([Zn])([Co][Sc][Mo])[Co][Sc][Mo],O=C(O)c1ccc(Nc2nc(Cl)c(Cl)c(Nc3ccccc3C(=O)O)n2)cc1,
[Zn][Sc]=[Re][Zn][Sc]=[W],O=C1Nc2ccc(Cl)cc2C1=Cc1ccc2c(c1)OCO2,
[Sc]=[Sc][Co][Ti][Co][Sc]([Ni][Zn])[Y][Zn],COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2cccc3ncccc23)c2cc[nH]c2n1,
[Co][Sc]([Sc][Co][Ni][Co][Sc][Zn])=[Sc][Sc][Zn],Cc1cccc(NC(=O)Nc2ccc(-c3cnc4c(-c5cnn(C)c5)cnn4c3N)cc2)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Ni][Zn],NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(OC(F)(F)F)cc4)c3)ncnc12,
[Sc][Mn][Co][Sc][Co][Ni][Sc],O=C(Nc1ccc(Nc2nc(-c3cccnc3)cn3ccnc23)cc1)c1ccccc1,
[Sc]=[Sc][Co][Zn][Sc][Co][Mn][Zn],FC(F)(F)c1cnc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,
[Ni][Sc][Co][Ni][Zn][Sc][Co][Sc]=[Sc][Ni][Zn][Y][Zn][Cu],O=C(Cn1cc(Nc2nncc3cc(OCCCN4CCCC4CO)ccc23)cn1)Nc1cccc(F)c1,
[Zn][Sc][Sc][Sc][Ni][Co][Zn][Hf],Cc1nnc(-c2cccc(-c3ccc(C(=O)NCC4CC4)cc3)c2)o1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Mn][Zn],NC(=O)c1cccc2c(NCc3cccc(Nc4nc5ccc(C(F)(F)F)cc5[nH]4)c3)ncnc12,
[Mn][Zn][Sc][Zn]1[Ti]([Ni][Ni][Zn])[Co][Zn]2[Zn][Nb]([Zn])[Zn][Ni][Zn]21,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CN(CC)C1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Y][Zn],CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(N3CCN(C)CC3)cc2)c1,
[Zn][Ti][Co][Sc]([Co][Sc][Ni][Zn])[Y][Zn],COc1cccc(Nc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C)CC3)n2)c1,
[Sc][Zn][Co][Sc][Ni][Co][Sc][Zn],O=C(Nc1ccc(C(F)(F)F)cc1)c1nscc1NCc1ccncc1,
[Zn][Y][Co][Ni][Sc]([Co][Hf])[Co][Zn][Sc]([Zn])[Zn],CN1CCC(NC(=O)c2cnc(NCc3cc(Cl)ccc3Cl)nc2NC2CCCC2)CC1,
[Ni][Sc][Co][Ni][Sc][Mn][Sc][Co][Sc][Y][Zn],CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(C(=O)Nc6ccccc6F)c5)nc5ccccn45)n3)cc2)CC1,
[Sc][Zn][Co][Sc]([Zn])[Co][Ti][Zn],Cc1cc(Nc2nc(Cl)cc(NCc3ccccc3)n2)n[nH]1,
[Zn][Hf][Ni][Sc]([Zn])[Co][Sc]=[Sc][Hf]=[Hf],CC1CCCN1C(=O)c1cc(Nc2ncc3cnn(C4CC5CC5C4)c3n2)cn1C,
[Zn][Ni][Sc][Zn][Re],CCCOc1ccc(C=C2SC(=O)NC2=O)cc1,
[Zn][Sc]([Sc][Co][Ni][Zn]([Zn])[Zn])[Ti][Sc][Zn][Y],CCn1cc(-c2ccnc3[nH]c(-c4ccc(CN5CCCC5)cc4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]([Zn])[Y][Zn],CN1CCN(c2ccc(C(=O)Nc3cccc(CNc4nncc5c(C(N)=O)cccc45)c3)cc2C(F)(F)F)CC1,
[Ti][Mn]([Co][Sc][Zn])[Zn][Zn],Cc1cc(Nc2nc(C#N)cn3c(-c4cn[nH]c4)cnc23)sn1,
[Sc]=[Ti][Zn]([Nb])[Ni][Sc][Sc]=[Ti][Zn],Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)cc12,
[Sc]=[Hf][Zn]1[Ni][Co][Ni][Zn]1[Sc][Zn],O=C1NC(=O)C(N2CCc3ccccc32)=C1c1ccc(Cl)cc1,
[Co][Ni][Sc]1([Zn])[Zn][Zn][Sc]1[Co][Zn][Sc][Ni][Zn],COc1cccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,
[Sc]=[Sc][Co][Sc][Zn][Co][Sc]=[Sc],c1ccc2oc(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,
[Sc][Ni][Co][Sc][Ti][Co][Ni][Sc][Zn][Y],O=C(Nc1cc(-c2cccc(NS(=O)(=O)c3ccccc3)c2)n[nH]1)c1ccc(CN2CCOCC2)cc1,
[Zn][Ni][Ni][Sc][Co][Sc][Co][Sc][Ni][Ni][Zn],COC(=O)c1ccc(Nc2nccc(Nc3ccccc3C(=O)OC)n2)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Sc][Zn][Zn],N#CCc1ccnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,
[Sc][Ni][Zn][Sc]=[Ti][Ti]=[Sc],O=C(Cc1ccc2cc(-c3n[nH]c4cccnc34)[nH]c2c1)c1ccccc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc]([Ni])[Ni],NC(=O)c1cccc2c(NCc3ccc(F)c(F)c3)ncnc12,
[Sc][Sc]=[Sc][Co][Sc][Ni][Zn][Mo],O=C(O)COc1ccc(Nc2ncc3nnn(-c4ccccc4)c3n2)cc1,
[Ti]=[Sc]([Zn])[Sc]([Sc][Y]([Zn])[Zn])[Ni][Co],CCc1ccc(-c2nc(C(N)=O)c(-c3ccc(N4CCNC(C)(C)C4)cc3)o2)c2cc[nH]c12,
[Ni][Sc][Co][Ni][Sc][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y],COc1cc2c(Nc3ncc(C(=O)Nc4ccc(F)cc4)s3)ncnc2cc1OCCCN1CCOCC1,
[Sc][Co][Zn][Sc][Sc]([Cu])[Ni][Co][Sc][Ni][Ni][Zn],COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CCNc4ncccn4)nn3)ccc2O)c1,
[Co][Ni][Sc][Co][Mn][Sc]([Ni][Zn])[Ni][Zn],COc1ccc(-c2cc3nccn3c(Nc3ccccc3C(N)=O)n2)cc1OC,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Sc][Zn][Zn],N#CCc1ccc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)nc1,
[Co][Ni][Hf][Ni][Sc]([Zn])[Co][Sc]=[Sc][Hf]=[Hf],Cn1cc(Nc2ncc3cnn(C4CC5CC5C4)c3n2)cc1C(=O)N1CCCC1C(N)=O,
[Sc]=[Cr][Co][Sc][Co][Ni][Sc]([Ni])[Zn],O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1cc(F)cc(C(F)(F)F)c1,
[Zn][Ti][Co][Sc]([W])[Zn][Sc][Co][Ni][Zn],CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCOCC3)n2)cc1,
[Sc][Zn]([Ni][Zn])[Ni][Hf]=[Ti][Co][Ni][Sc][Y][Zn],COC(C(=O)N1Cc2n[nH]c(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,
[Ti][Sc][Zn]([Zn])[Hf],N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,
[Zn][Sc][Co][Sc][Co][Sc][Co][Ni][Zn],CC(=O)Nc1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,
[Sc][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Co],NC(=O)c1cccc2c(NCc3cccc(Nc4ccccn4)c3)ncnc12,
[Sc][Ni][Co][Ti][Mn][Zn][Y],O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)c1ccccc1,
[Co][Ni][Zn]1[Zn][Zn]([Zn])[Zn][Zn]2[Ni]([Co][Zn][Sc][Co][Ni][Sc]([Ni])[Ni][Zn])[Zn][Ni][Zn][Zn]12,COc1ccc(C(=O)Nc2cccc(C(C)NC3=NC=NC4C(C(N)=O)=CC(Cl)C=C34)c2)cc1F,
[Zn][Sc][Ni][Co][Ti]=[Hf][Ni][Zn],CC(=O)N1Cc2n[nH]c(NC(=O)c3ccc(C)cc3)c2C1,
[Zn][Sc][Ni][Zn][Co][Sc]([Zn])([Co][Ti][Zn])[Zn][Zn],Cc1cc(Nc2cc(C)c(C#N)c(NCCOc3ccccc3Cl)n2)n[nH]1,
[Zn][Sc][Co][Ni][Co][Sc][Sc][Co][Sc]([Zn])[Y][Zn],CCc1cc(NC(=O)Nc2ccc(-c3cnc(Nc4cc(N5CCN(CC)CC5)nc(C)n4)s3)cc2)no1,
[Co][Ni][Sc]1([Zn])[Zn][Zn][Sc]1[Co][Zn][Sc][Y][Zn],CN1CCN(c2ccc(CNc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)cc2)CC1,
[Zn][Sc]([Zn])[Ni][Co][Sc][Ni][Mn][Co][Ni][Hf],Cc1cc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)cn4c3)c2)n(C)n1,
[Sc]=[Sc][Co][Zn][Sc][Co][Mn][Zn],FC(F)(F)c1ccc2nc(Nc3ncc(CCNc4ncnc5ccsc45)s3)[nH]c2c1,
[Sc]=[Ta]([Zn][Ni][Zn][Y])[Re]=[Sc][Zn],O=C1Nc2cc(Br)ccc2C1=C1Nc2ccccc2C1=NOCCN1CCCC1,
[Zn][Mn][Zn][Zn]([Zn])[Sc][Co][Ti][Hf],CCN(Cc1ccc2[nH]cnc2c1Cl)c1nccc(Nc2cc(C3CC3)[nH]n2)n1,
[Co][Ni][Sc](=[Sc][Co][Zn][Sc][Zn])[Ni][Zn][Nb][Zn][Cu],NC(=O)c1cc(OCCCNCCO)cc2c(NCc3ccc(C(F)(F)F)cc3)ncnc12,
[Sc][Sc]1([Ni][Co])[Zn][Zn][Sc]1[Co][Hf],NC(=O)c1nn(-c2ccccc2)c2c1CCc1cnc(NC3CCCC3)nc1-2,
[Co][Ni][Sc]=[Sc][Co][Zn][Zn]1[Zn][Zn][Zn][Zn]([Co][Ni][Sc]([Ni])[Ni][Zn])[Zn]1,COc1ccc(C(=O)NC2=CCCC(C(C)Nc3ncnc4c(C(N)=O)cccc34)=C2)cc1F,
[Sc][Co][Ni][Zn][Y][Mn]([Zn])[Sc][Zn]([Zn])[Zn],CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Br)cnc3[nH]2)cc1,
[Co][Sc]([Sc][Zn][Cu])=[Sc][Sc][Co][Ni][Co][Sc][Ni][Zn],COc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(CC(C)(C)O)c5)cnc(N)c34)cc2)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Co][Ni][Sc][Ni][Zn])[Nb]([Zn])[Zn],CN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC(F)(F)F)cc2)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]([Zn])[Zn],Cc1nc(C)c(C(=O)Nc2cccc(C(C)Nc3ncnc4c(C(N)=O)cccc34)c2)s1,
[Sc]=[Sc][Co],Nc1ncnc2sccc12,
[Cu][Sc]([Mo])[Co][Sc][Co][Sc][Zn],O=C(O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1O,
[Zn][Y][Zn][Sc][Co][Mn]([Zn])[Sc][Zn][Ni][Co][Mn][Mo],Cc1cn2c(-c3cnn(CC(=O)Nc4cc[n+]([O-])cc4)c3)cnc2c(Nc2cc(CN3CCCC(C)C3)ns2)n1,
[Zn][Ni][Sc](=[Sc][Ni][Sc]=[Sc][Ni][Co][Hf])[Ni][Zn],COc1cc2nccc(Oc3ccc4c(C(=O)NC5CCCC5)cccc4c3)c2cc1OC,
[Co][Ti]=[Sc][Sc]([Co])[Hf]([Zn])[Co][Ni][Ni][Zn],CC1CCC(NC(=O)OC(C)(C)C)CN1c1cc(-c2ccc3c(N)n[nH]c3c2)nc(N)n1,
[Zn][Ni][Sc]=[Ti]([Zn])[Ni][Zn],COc1ccc2nc3[nH]nc(C)c3c(OC)c2c1,
[Ni][Sc]([Ni])[Co][Ni][Zn][Ti][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Nb]([Zn])[Zn][Cu],CCCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC,
[Sc][Zn]([Cu])[Co][Sc]=[Sc][Sc]([Ni][Co])[Ni][Zn],COc1cc(C(N)=O)ccc1-c1cc2c(NC(CO)c3ccccc3)ncnc2s1,
