rg,smi,lable
[Sc][Zn][W]([Zn])[Zn][Sc],CN1C(=O)C(=Cc2ccncc2)SC1=Nc1ccccc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc]([Ni])[Co][Zn]([Cu])[Sc][Ni][Zn],COc1ccc(C(O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2F)cc1,
[Sc]=[Sc][Sc]([Ni])[Ni][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn],COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,
[Co][Ni][Sc][Co][Sc][Co][Sc][Zn],NC(=O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Cu],NC(=O)c1cccc2c(NCc3cccc(O)c3)ncnc12,
[Co][Mn][Zn][Sc][Zn]1[Ti]([Ni][Ni][Zn])[Co][Zn]2[Zn][Zn][Zn][Ni][Zn]21,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3c(N)cccc3[nH]2)o1,
[Sc][Ni][Co][Sc]([Zn])[Sc][Ni][Co][Zn][Hf],Cc1ccc(NC(=O)c2ccoc2)cc1-c1ccc(C(=O)NCC2CC2)cc1,
[Zn][Ni][Sc][Mn][Sc][Zn]([Zn])[Zn],CC(=O)c1cccc(-c2cnc3[nH]c(-c4ccc(N(C)C)cc4)nc3c2)c1,
[Ti]=[Sc]([Zn])[Sc]([Sc][Y]([Zn])[Zn])[Ni][Co],CC1(C)CN(c2ccc(-c3oc(-c4ccc(C(F)(F)F)c5[nH]ccc45)nc3C(N)=O)cc2)CCN1,
[Sc][Sc]([Ni][Zn])[Ni][Ti]([Sc])([Sc])[Zn],CC(=O)c1nn(-c2ccccc2)cc1C(=O)c1c(C)[nH]c(-c2ccccc2)c1-c1ccccc1,
[Zn][Sc]=[Sc][Co][Sc]([Ni][Zn][Nb]([Zn])[Zn])[Zn][Zn],CC(CN(C)C)Oc1nc(Nc2cc3cccc(Cl)c3cn2)cnc1C#N,
[Sc][Zn][Co][Sc]=[Sc][Ni][Co],NC(=O)c1cccc2c(NCc3ccccc3)ncnc12,
