smiles,Serine_threonine-protein_kinase_mTOR
COCC(=O)NCc1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(C(=O)NCCO)c3)nc2n1,1.0
COCCN(C)C(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1CO,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1N,1.0
Cc1ccccc1-c1ccc2c(N3CCOCC3C)nc(N3CCOCC3C)nc2n1,1.0
CC1CN(c2nc(N3CCOCC3C)c3ccc(-c4ccccc4)nc3n2)CC(C)O1,1.0
CCNC(=O)c1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1F,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(CNCCO)c3)nc2n1,1.0
CC1CN(c2nc(N3CCOCC3C)c3ccc(-c4ccc(Cl)cc4)nc3n2)CC(C)O1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(Cl)cc3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(F)c(CO)c3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(C#N)c3)nc2n1,1.0
CC(C)CC(=O)N(C)Cc1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,0.0
COCCNCc1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1OC,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(C(=O)N(C)C)c3)nc2n1,1.0
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CC(C)OC(C)C4)nc3n2)cc1F,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(CS(C)(=O)=O)c3)nc2n1,1.0
CC(C)N(C)C(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1F,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(CN)cc3)nc2n1,1.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(C(N)=O)c(F)c3)nc2n1,0.0
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3ccc(OC(F)F)c(C(N)=O)c3)nc2n1,1.0
