smiles,Epidermal_growth_factor_receptor_erbB1
CN(C)CC=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,1.0
CCN(CC)CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN(C)C,1.0
COc1cccc2c(Nc3cccc(Br)c3)ncnc12,1.0
CCCOc1cc2ncnc(Nc3ccc(NC(=O)OCC)c(C)c3)c2cc1OC,0.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C(C)C(=O)N(C)C,1.0
c1ccc(Nc2ncnc3ccccc23)cc1,1.0
C#Cc1cccc(Nc2ncnc3ccc(NC(N)=O)cc23)c1,1.0
NP(=O)(OCCOc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)N(CCCl)CCCl,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)NC(C)C,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C(C)CN(C)C,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CO,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1B(O)O,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(N)=O,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CNC,1.0
Cc1cccc(N(C)c2ncnc3cc(C)c(C)cc23)c1,0.0
COCCOc1cc2ncnc(Nc3ccc(B(O)O)cc3)c2cc1OCCOC,0.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C=CCC,1.0
CN(C)N=Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,0.0
O=NN(CCCl)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,1.0
CCOc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCC,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCNC(=O)NCC,1.0
Nc1ccc2c(Nc3cccc(F)c3)ncnc2c1,1.0
COc1cc2ncnc(Nc3cccc(C)c3)c2cc1OC,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C(F)F,1.0
C=CC(=O)Nc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCCNC(=O)CN(C)C,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CCN,1.0
CCCN(CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)CCC,1.0
COc1cc2ncnc(Nc3ccc(C(=O)O)cc3)c2cc1OC,0.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNS(C)(=O)=O,1.0
CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCNC(=O)C(F)(F)F,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(O)CN(CCO)CCO,1.0
COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,1.0
COc1ccc2ncnc(Nc3cc(OC)c(OC)c(OC)c3)c2c1,1.0
COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC,1.0
COCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=CCN(C)C,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCC(=O)NO,1.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C(CO)C(N)=O,1.0
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(CN(C)C)c(Br)c3)c2c1,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCNC(=O)CCO,1.0
Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CCO,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(F)c3F)ncnc2cc1OCCNC(=O)CCN(CC)CC,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCBr,1.0
C=C=CC(=O)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1SCCCN(CC)CC,1.0
O=[N+]([O-])c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC(C)NC(=O)CN(C)C,1.0
COc1cc2nc(Cl)nc(Nc3ccc(S(=O)(=O)N(C)C)cc3)c2cc1OC,0.0
CC(=O)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],1.0
Nc1cccc2ncnc(Nc3cccc(Br)c3)c12,1.0
COCCOc1cc2ncnc(Nc3ccc(NC(=O)C=CCN(C)C)c(C(F)(F)F)c3)c2cc1NC(=O)C=CCN(C)C,1.0
NC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3)c2c1,1.0
CCCOc1cc2ncnc(Nc3ccc(NC(=O)OCC)c(Cl)c3)c2cc1OC,0.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCC(C)NC(=O)CN(C)C,1.0
C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,1.0
CCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1C,1.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CN(C)CC,1.0
CN=NNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,1.0
COCCOc1cc2ncnc(Nc3cccc(B(O)O)c3)c2cc1OCCOC,0.0
C=CCNC(=O)NCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C,1.0
CC=CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,1.0
C=C(C)C(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(C)=O,0.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCNC(=O)CO,1.0
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],1.0
Brc1cccc(Nc2ncnc3ccccc23)c1,1.0
O=[N+]([O-])c1cc2c(Nc3cccc(Br)c3)ncnc2cc1Cl,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCC(=O)NO,1.0
C=C(C)C(=O)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0
O=NN(CCCl)C(=O)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,1.0
C=CC(=O)Nc1cc2c(Nc3cc(C(=O)NOC)c(Br)cc3F)ncnc2cc1OCCNC(C)=O,0.0
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C(C)N,1.0
