smiles,Casein_kinase_I_alpha
COC(=O)c1cncc(C=Cc2c(C)cc(O)cc2C)c1,0.0
CCc1cccc(CC)c1C=Cc1cncc(C(=O)NC)c1,0.0
CNC(=O)c1cncc(C=Cc2c(Cl)cccc2Cl)c1,0.0
Cc1cc(O)cc(C)c1C=Cc1cncc(C(=O)OC(C)(C)C)c1,0.0
Cc1cc(O)cc(C)c1C=Cc1cncc(C(=O)N(C)C)c1,0.0
CNC(=O)c1cncc(C=Cc2ccccc2C)c1,0.0
CNC(=O)c1cncc(C=Cc2c(C)cccc2C)c1,0.0
CNC(=O)Oc1cc(C)c(C=Cc2cncc(C(=O)NC)c2)c(C)c1,0.0
CNC(=O)c1cncc(C=Cc2ccccc2Cl)c1,0.0
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CC(C)(C)N)cnc(N)c34)cc2)c1,0.0
CNC(=O)c1cnc(N)c2c(-c3ccc(NC(=O)Nc4cc(C)ccc4F)cc3)csc12,0.0
Nc1nccc2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,0.0
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCCCCCCCCN)cnc(N)c34)cc2)c1,1.0
Nc1nccc2scc(-c3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c12,0.0
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN)cnc(N)c34)cc2)c1,0.0
Cc1cccc(NC(=O)Nc2ccc(-c3csc4ccnc(N)c34)cc2)c1,0.0
Nc1nccc2scc(-c3ccc(NC(=O)Nc4ccccc4C(F)(F)F)cc3)c12,0.0
Nc1nccc2scc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,0.0
COC(=O)Cc1csc(-c2nc3cc4ccccc4cc3nc2-c2cc(CC(=O)OC)cs2)c1,0.0
c1csc(-c2nc3cc4ccccc4cc3nc2-c2cccs2)c1,0.0
O=C(O)Cc1csc(-c2nc3cc4ccccc4cc3nc2-c2cc(CC(=O)O)cs2)c1,0.0
COC(=O)CCCc1ccc(-c2nc3cc4ccccc4cc3nc2-c2ccc(CCCC(=O)OC)s2)s1,0.0
O=C(O)c1ccc(-c2nc3cc4ccccc4cc3nc2-c2ccc(C(=O)O)s2)s1,0.0
O=C(O)Cc1ccc(-c2nc3cc4ccccc4cc3nc2-c2ccc(CC(=O)O)s2)s1,0.0
COC(=O)CCc1ccc(-c2nc3cc4ccccc4cc3nc2-c2ccc(CCC(=O)OC)s2)s1,0.0
O=C(O)CCCc1ccc(-c2nc3cc4ccccc4cc3nc2-c2ccc(CCCC(=O)O)s2)s1,0.0
O=C(O)c1ccc2cc3nc(-c4cccs4)c(-c4cccs4)nc3cc2c1,0.0
COc1ccc2c(-c3ccnc(Nc4cccc(OC(F)(F)F)c4)n3)cnn2n1,0.0
CCOc1ccc2c(-c3ccnc(Nc4cc(OC)cc(C(F)(F)F)c4)n3)cnn2n1,0.0
CCOc1ccc2c(-c3ccnc(Nc4cccc(C(F)(F)F)c4)n3)cnn2n1,0.0
CCN(CC)Cc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,0.0
COc1cc(Nc2nccc(-c3cnn4ncccc34)n2)cc(OC)c1,0.0
N#Cc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,0.0
CC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,0.0
COc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,0.0
O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1cc(Cl)c(O)c(Cl)c1,0.0
O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(O)c(Cl)c1,0.0
O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1cc(Cl)c(O)c(Cl)c1,0.0
O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1,0.0
COc1ccccc1C1=C(Nc2ccccc2)C(=O)NC1=O,0.0
O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccc(Cl)c(C(=O)O)c1,0.0
O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1cccc(O)c1,0.0
O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(Cl)c(C(=O)O)c1,0.0
COc1cc(Nc2ncc([N+](=O)[O-])c(Nc3ccccc3C(N)=O)n2)cc(OC)c1OC,1.0
N#CCOc1ccc(Nc2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2Br)cc1,0.0
O=C(O)c1ccccc1Nc1ccnc(Nc2cccc(O)c2)n1,1.0
Cc1ccc(Nc2ccnc(Nc3cccc(C(N)=O)c3)n2)cc1O,0.0
O=C(O)c1ccccc1Nc1ccnc(Nc2cccc(F)c2)n1,1.0
NC(=O)c1cccc(Nc2nccc(Nc3cccc(F)c3)n2)c1,0.0
O=C(O)c1ccccc1Nc1ccnc(Nc2ccc([N+](=O)[O-])cc2)n1,1.0
