smiles,Serine_threonine-protein_kinase_AKT
NC(Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3ccc(-c4ccccc4)cc23)CC1,1.0
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3cnc(F)c(Cl)c3)cn2CCN2CCC2)CC1,1.0
Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2-c2cccc(C#N)c2)CC1,1.0
COC(=O)c1ccc(-c2c(N)ncnc2N2CCC(c3nc(-c4ccc(F)c(C(F)(F)F)c4)cn3CCN(C)C)CC2)cc1,1.0
Cc1cccc(Nc2cc(Nc3cccc(C(=O)N(CC(C)O)CC(C)O)c3)ncn2)c1,0.0
NC1(c2ccc(-c3nc4nc(C5CC5)ccn4c3-c3ccccc3)cc2)CCC1,0.0
NCC(NC(=O)c1cc(C2CC2)c(-c2ccnc3[nH]ccc23)s1)c1ccccc1,1.0
CC(C)Nc1c(-c2ccccc2)c(-c2ccc(CN3CC(c4n[nH]c(-c5ccccn5)n4)C3)cc2)nc2nccn12,1.0
Nc1ncnc(N2CCC3(CCCN(CC(O)CNS(=O)(=O)c4ccccc4Cl)C3)C2)c1C1CC1,1.0
CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(F)cc1,1.0
COC(=O)CCc1c(C)[nH]c(=O)c2c(N)nn(C)c12,0.0
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.0
CC1CN(C(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c2ccccc21,1.0
Cc1c[nH]c2ncnc(N3CC4(CCNCC4)c4ccccc43)c12,1.0
NC(=O)c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,0.0
Cc1occc1-c1nc(N)c(OCC(N)Cc2c[nH]c3ccccc23)cc1-c1cc2c(C)n[nH]c2cn1,1.0
Cc1n[nH]c2cnc(-c3cc(OCC(N)Cc4c[nH]c5ccccc45)cnc3-c3ccoc3)cc12,1.0
CC1SCc2ncnc(N3CCN(C(=O)C(Cc4ccc(Cl)cc4)CN4CCCC4)CC3)c21,1.0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccc(F)c(F)c1F,1.0
O=C(Nc1cccc(C(F)(F)F)c1)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,1.0
CC1Cc2cc(F)c(F)cc2N1C(=O)Cc1nc(N2CCOCC2)c(F)c(=O)n1C,1.0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccc(F)cc1O,0.0
Cc1ccccc1CNC(=O)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,0.0
c1ccc(-c2cnc3cnc(-c4cc[nH]n4)cn23)cc1,0.0
c1ccc2c(c1)Nc1ncccc1-n1c(-c3ccc(CN4CCC(c5c[nH]c6ccccc56)CC4)cc3)nnc1-2,1.0
Cc1[nH]c(-c2ccccc2)c(-c2ccccc2)c1-c1nnc(C)c2nn(-c3ccccc3)cc12,0.0
CCC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3cccnc3-4)cc2)C1,1.0
COc1cc(C)c(NC(=O)CN(C)C)cc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1,0.0
CC(C)N(C)CCn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2C#N)CC1,1.0
