smiles,Serine_threonine-protein_kinase_B-raf
CCCS(=O)(=O)Nc1cc(F)cc(C(=O)Nc2cnc3[nH]ccc3c2)c1F,1.0
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)c4ccc(OC)c(C(F)(F)F)c4)c3)ccnc12,0.0
CCCS(=O)(=O)Nc1cc(F)cc(-c2[nH]c(C3CC3)nc2-c2ccncn2)c1Cl,1.0
CNC(=O)c1ccc(Sc2ccc(NC(=O)Nc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)nc1,1.0
COc1cc2ncnc(Nc3cccc(O)c3)c2cc1-c1ccc(O)cc1,1.0
Cn1c(=O)c(Oc2c(Cl)cccc2Cl)cc2cnc(NC3CCOCC3)nc21,0.0
Nc1nc(-c2ccccn2)c(-c2ccc3ncccc3n2)s1,0.0
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2ccc(N(C)C)nc12,1.0
O=C(OC1CNC(C#Cc2cc3ncnc(Nc4ccc5c(ccn5Cc5cc(F)ccc5F)c4)c3s2)C1)N1CCOCC1,0.0
O=S(=O)(Nc1ccc(F)c(Nc2ncccc2-c2ncnc3[nH]cnc23)c1F)C1CCC1,1.0
COC(=O)NC(C)CNc1nccc(-c2cn(C(C)C)nc2-c2ccc(F)c(NS(C)(=O)=O)c2F)n1,1.0
CCCS(=O)(=O)Nc1ccc(F)c(-c2cc3cnc(NCC(C)NC(=O)OC)cc3cc2OC)c1F,1.0
Cc1nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)c2[nH]c1=O,1.0
O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)cc1F,1.0
CN(CCN1CCCC1)c1ncc2ncnc(Nc3cc(C(=O)Nc4cc(C(C)(C)C)on4)ccc3C(F)(F)F)c2n1,1.0
O=C(c1cccc(C(F)(F)F)c1F)N1N=C(c2cccnc2)CC1c1ccccc1O,0.0
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3C(C)c3cc(Br)cs3)ccc2[nH]1,1.0
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCNCC3)nc12,1.0
COc1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1,0.0
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(N)nc(N2CCOCC2)c1,1.0
CS(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,0.0
COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)NC(C)C)c3F)cc12,1.0
COCCN1CCN(c2ncc3ncnc(Nc4cc(C(=O)Nc5cc(C(F)(F)F)ccc5-n5cccn5)ccc4C)c3n2)CC1,1.0
Cc1ccc(C(=O)Nc2nnc(C(F)(F)F)s2)cc1Nc1ncnc2cnc(N3CCNCC3)nc12,0.0
CN1CCC(Nc2ccc(NC(=O)Nc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)c(F)c3)cc2C(F)(F)F)CC1,1.0
COc1cc(-c2ccc3ncnc(Nc4cc(O)c(Cl)cc4F)c3c2)ccc1O,1.0
COc1ccc(CNC(=O)c2cccc(C(C)Oc3ccnc(Nc4cnn(C5CCNCC5)c4)c3)c2)cc1OC,0.0
COc1cncc(NC(=O)c2cc(NC(=O)c3cccc(C(C)(C)C#N)c3)ccc2C)c1,1.0
