smiles,Tyrosine-protein_kinase_BTK
CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1,0.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(O)cc3)ncc2F)c1,1.0
C=CC(=O)Nc1cccc(N(C)c2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(N(C)c3ccc(OCCO)cc3)ncc2F)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCO)cc3)ncc2F)c1,1.0
COCCOc1ccc(Nc2ncc(F)c(Nc3cccc(NC(=O)C(O)CO)c3)n2)cc1,1.0
Fc1cnc(Nc2ccccc2)nc1Nc1ccccc1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCC(=O)NC(C)C(=O)OC)cc3)ncc2Cl)c1,1.0
O=C(O)c1ccccc1Nc1ccnc(Nc2cccc(O)c2)n1,1.0
Cc1ccc(Nc2ccnc(Nc3cccc(C(N)=O)c3)n2)cc1O,0.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2[S+](C)O)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCC(=O)NCC(=O)OC)cc3)ncc2Cl)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC(=O)CN(CCOC)CCOC)c(C)c3)ncc2Cl)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCC(=O)N(CCOC)CCOC)cc3)ncc2F)c1,1.0
CN(C)CCNC(=O)Nc1ccc(N(C)c2ccnc(Nc3ccc(CS(C)(=O)=O)cc3)n2)cc1,0.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCCP(=O)(OCC)OCC)cc3)ncc2F)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(CP(=O)(OCC)OCC)cc3)ncc2F)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCC(=O)NCC(=O)O)cc3)ncc2Cl)c1,1.0
Cc1cnc(Nc2cccc(S(N)(=O)=O)c2)nc1Nc1ccc(OCC(N)=O)cc1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N(CCOC)CCOC)cc3)ncc2Cl)c1,1.0
N#CCOc1ccc(Nc2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2Br)cc1,1.0
NC(=O)c1cccc(Nc2nccc(Nc3cccc(F)c3)n2)c1,0.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(CP(=O)(OCC)OCC)cc3)ncc2Cl)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC(=O)CN(CCOC)CCOC)cc3)ncc2Cl)c1,1.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,1.0
O=C(O)c1ccccc1Nc1ccnc(Nc2ccc([N+](=O)[O-])cc2)n1,1.0
CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Cl,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(F)c(Cl)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(C)c(OC)c3)nn21,1.0
COc1ccc(-c2nn3c(c2C(N)=O)NCCC3c2ccccc2N)cc1,0.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(F)c(C)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3cccc(OC)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(C)cc3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OC)cc3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(Cl)c(C(F)(F)F)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OCCOC)cc3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(F)c(F)c3)nn21,1.0
COc1cc(-c2nn3c(c2C(N)=O)NCCC3c2ccccc2NC(=O)C=CCN(C)C)ccc1C,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(C(F)(F)F)c(Cl)c3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(Cl)cc3)nn21,1.0
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(Cl)c(OC)c3)nn21,1.0
